,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
t137,-2.2445161,-8.668329,20.474672,28.883423,33.44936,-7.1859818,-3.2102952,15.728234,28.54845,-2.3803344,3.1515448,-4.369363,-5.8040614,16.907652,9.107288
t47,-1.7296877,-7.610288,17.24739,25.20061,28.551464,-6.0392966,-2.852728,15.242387,23.994934,-2.3527434,3.5447667,-3.6241105,-4.7259636,15.343283,8.649465
t46,-2.1471999,-8.402566,20.630539,28.921978,32.094475,-6.9550033,-3.2272763,15.674798,27.24321,-2.345936,3.4584334,-4.2736187,-5.572656,17.225266,9.319141
t20,-0.92403364,-6.256198,19.52537,28.73003,18.218657,-5.5963087,-2.8668156,16.834484,13.944076,-2.9136808,4.276128,-3.3129616,-4.3297324,15.387702,8.124353
t36,-1.505076,-7.3938556,25.219933,34.979298,23.050226,-7.000107,-3.380053,17.653534,18.153038,-2.973055,4.308358,-4.3438153,-5.6282597,18.150013,9.346095
t37,-1.4241972,-7.1889033,23.92381,33.508842,22.051134,-6.6833305,-3.209643,17.278042,17.212698,-3.0033808,4.439144,-4.111213,-5.335462,17.506996,9.240988
t22,-0.88216764,-6.6780915,21.728565,32.5235,18.94968,-6.23499,-3.3570068,19.25952,14.3499,-3.2570589,3.2553551,-3.6077306,-5.108519,16.545683,7.5171247
t150,-0.9437849,-7.6771593,27.006342,40.015144,20.613827,-7.6965075,-4.2494454,23.674381,15.570283,-3.9076085,1.6748173,-4.3037887,-6.635849,19.178204,7.5558786
t151,-0.94408876,-7.67687,27.013968,40.01184,20.605427,-7.6978188,-4.24871,23.667702,15.570062,-3.9072442,1.6787875,-4.303954,-6.6350603,19.181934,7.567276
t140,-0.95032066,-7.6732078,26.993095,40.002815,20.595795,-7.7035036,-4.2525764,23.643251,15.550214,-3.9059334,1.6948788,-4.3010488,-6.6423717,19.18328,7.54863
t142,-0.9611649,-7.63891,27.060904,39.88894,20.542442,-7.688675,-4.2289186,23.540163,15.526835,-3.8944886,1.9102919,-4.301383,-6.6038437,19.202139,7.700711
t143,-0.96265393,-7.639381,27.037157,39.882442,20.5374,-7.69078,-4.2296996,23.539688,15.5098,-3.8983886,1.9325068,-4.2978888,-6.604486,19.201662,7.6966357
t89,-1.0445124,-7.69325,26.941813,39.54307,21.01071,-7.6436996,-4.1893153,23.048386,16.020006,-3.8022366,2.0141194,-4.2866435,-6.5644426,19.160645,7.797187
t117,-1.0426493,-7.6984725,27.14776,39.512287,20.849043,-7.651385,-4.1780734,23.360798,15.883379,-3.8960247,1.8525059,-4.2552886,-6.585239,19.073517,7.795713
t118,-1.0509781,-7.693622,27.145271,39.532326,20.873905,-7.657554,-4.175745,23.366188,15.839543,-3.8899038,1.9381411,-4.2589393,-6.576445,19.079369,7.8045025
t146,-1.0407683,-7.682458,27.120066,39.575634,20.777096,-7.67044,-4.2030964,23.454184,15.745658,-3.905806,1.692136,-4.242927,-6.605194,19.116322,7.6782537
