,accepted_family,Genus,accepted_species,accepted_species_w_author
12280,Apocynaceae,Rauvolfia,Rauvolfia sandwicensis,Rauvolfia sandwicensis A.DC.
12285,Apocynaceae,Rauvolfia,Rauvolfia schuelii,Rauvolfia schuelii Speg.
12286,Apocynaceae,Rauvolfia,Rauvolfia sellowii,Rauvolfia sellowii Müll.Arg.
12300,Apocynaceae,Rauvolfia,Rauvolfia semperflorens,Rauvolfia semperflorens (Müll.Arg.) Schltr.
12306,Apocynaceae,Rauvolfia,Rauvolfia serpentina,Rauvolfia serpentina (L.) Benth. ex Kurz
12392,Apocynaceae,Rauvolfia,Rauvolfia sevenetii,Rauvolfia sevenetii Boiteau
12397,Apocynaceae,Rauvolfia,Rauvolfia spathulata,Rauvolfia spathulata Boiteau
12403,Apocynaceae,Rauvolfia,Rauvolfia sprucei,Rauvolfia sprucei Müll.Arg.
12409,Apocynaceae,Rauvolfia,Rauvolfia sumatrana,Rauvolfia sumatrana Jack
12423,Apocynaceae,Rauvolfia,Rauvolfia tetraphylla,Rauvolfia tetraphylla L.
12443,Apocynaceae,Rauvolfia,Rauvolfia verticillata,Rauvolfia verticillata (Lour.) Baill.
12471,Apocynaceae,Rauvolfia,Rauvolfia viridis,Rauvolfia viridis Roem. & Schult.
12473,Apocynaceae,Rauvolfia,Rauvolfia volkensii,Rauvolfia volkensii (K.Schum.) Stapf
12507,Apocynaceae,Rauvolfia,Rauvolfia vomitoria,Rauvolfia vomitoria Wennberg
12545,Rubiaceae,Rennellia,Rennellia elliptica,Rennellia elliptica Korth.
12558,Apocynaceae,Rhazya,Rhazya stricta,Rhazya stricta Decne.
12615,Rubiaceae,Rhodopentas,Rhodopentas bussei,Rhodopentas bussei (K.Krause) Kårehed & B.Bremer
12625,Rubiaceae,Rhodopentas,Rhodopentas parvifolia,Rhodopentas parvifolia (Hiern) Kårehed & B.Bremer
12627,Rubiaceae,Richardia,Richardia brasiliensis,Richardia brasiliensis Gomes
12630,Rubiaceae,Richardia,Richardia grandiflora,Richardia grandiflora (Cham. & Schltdl.) Steud.
12635,Rubiaceae,Richardia,Richardia scabra,Richardia scabra L.
12636,Rubiaceae,Ridsdalea,Ridsdalea wittii,Ridsdalea wittii (Craib) J.T.Pereira
12639,Rubiaceae,Rondeletia,Rondeletia panamensis,Rondeletia panamensis DC.
12642,Rubiaceae,Rosenbergiodendron,Rosenbergiodendron formosum,Rosenbergiodendron formosum (Jacq.) Fagerl.
12656,Rubiaceae,Rosenbergiodendron,Rosenbergiodendron longiflorum,Rosenbergiodendron longiflorum (Ruiz & Pav.) Fagerl.
12658,Rubiaceae,Rothmannia,Rothmannia globosa,Rothmannia globosa (Hochst.) Keay
12670,Rubiaceae,Rothmannia,Rothmannia longiflora,Rothmannia longiflora Salisb.
12674,Rubiaceae,Rothmannia,Rothmannia urcelliformis,Rothmannia urcelliformis (Hiern) Bullock ex Robyns
12676,Rubiaceae,Rubia,Rubia alata,Rubia alata Wall.
12686,Rubiaceae,Rubia,Rubia argyi,Rubia argyi (H.Lév. & Vaniot) H.Hara
12713,Rubiaceae,Rubia,Rubia cordifolia,Rubia cordifolia L.
12821,Rubiaceae,Rubia,Rubia manjith,Rubia manjith Roxb.
12823,Rubiaceae,Rubia,Rubia oncotricha,Rubia oncotricha Hand.-Mazz.
12845,Rubiaceae,Rubia,Rubia peregrina,Rubia peregrina L.
12847,Rubiaceae,Rubia,Rubia schumanniana,Rubia schumanniana E.Pritz.
12851,Rubiaceae,Rubia,Rubia tinctorum,Rubia tinctorum L.
12899,Rubiaceae,Rubia,Rubia wallichiana,Rubia wallichiana Decne.
12942,Rubiaceae,Rubia,Rubia yunnanensis,Rubia yunnanensis Diels
13070,Rubiaceae,Rudgea,Rudgea jasminoides,Rudgea jasminoides (Cham.) Müll.Arg.
13076,Rubiaceae,Rudgea,Rudgea viburnoides,Rudgea viburnoides (Cham.) Benth.
13083,Apocynaceae,Ruehssia,Ruehssia cundurango,Ruehssia cundurango (Triana) Liede & H.A.Keller
13089,Rubiaceae,Salzmannia,Salzmannia nitida,Salzmannia nitida DC.
13090,Rubiaceae,Saprosma,Saprosma fragrans,Saprosma fragrans (Bedd.) Bedd.
13092,Rubiaceae,Saprosma,Saprosma scortechinii,Saprosma scortechinii King & Gamble
13123,Apocynaceae,Sarcolobus,Sarcolobus globosus,Sarcolobus globosus Wall.
13144,Gentianaceae,Schenkia,Schenkia spicata,Schenkia spicata (L.) G.Mans.
13168,Apocynaceae,Schizozygia,Schizozygia coffeoides,Schizozygia coffeoides Baill.
13181,Gentianaceae,Schultesia,Schultesia guianensis,Schultesia guianensis (Aubl.) Malme
13184,Rubiaceae,Schumanniophyton,Schumanniophyton magnificum,Schumanniophyton magnificum (K.Schum.) Harms
13199,Rubiaceae,Schumanniophyton,Schumanniophyton problematicum,Schumanniophyton problematicum (A.Chev.) Aubrév.
13208,Rubiaceae,Scleromitrion,Scleromitrion diffusum,Scleromitrion diffusum (Willd.) R.J.Wang
13276,Rubiaceae,Scleromitrion,Scleromitrion tenelliflorum,Scleromitrion tenelliflorum (Blume) Korth.
13280,Rubiaceae,Scleromitrion,Scleromitrion verticillatum,Scleromitrion verticillatum (L.) R.J.Wang
13281,Rubiaceae,Scyphiphora,Scyphiphora hydrophylacea,Scyphiphora hydrophylacea C.F.Gaertn.
13301,Apocynaceae,Secamone,Secamone afzelii,Secamone afzelii (Roem. & Schult.) K.Schum.
13317,Rubiaceae,Sherardia,Sherardia arvensis,Sherardia arvensis L.
13320,Rubiaceae,Simira,Simira eliezeriana,Simira eliezeriana Peixoto
13325,Rubiaceae,Simira,Simira maxonii,Simira maxonii (Standl.) Steyerm.
13326,Rubiaceae,Simira,Simira mexicana,Simira mexicana (Bullock) Steyerm.
13328,Rubiaceae,Simira,Simira rubescens,Simira rubescens (Benth.) Bremek. ex Steyerm.
13334,Rubiaceae,Simira,Simira rubra,Simira rubra (Mart.) Steyerm.
13335,Rubiaceae,Simira,Simira salvadorensis,Simira salvadorensis (Standl.) Steyerm.
13337,Rubiaceae,Simira,Simira tinctoria,Simira tinctoria Aubl.
13343,Rubiaceae,Simira,Simira williamsii,Simira williamsii (Standl.) Steyerm.
13354,Rubiaceae,Singaporandia,Singaporandia macrophylla,Singaporandia macrophylla (Hook.f.) K.M.Wong
13360,Apocynaceae,Sinomarsdenia,Sinomarsdenia incisa,Sinomarsdenia incisa (P.T.Li & Y.H.Li) P.T.Li & J.J.Chen
13366,Apocynaceae,Skytanthus,Skytanthus acutus,Skytanthus acutus Meyen
13367,Rubiaceae,Solenandra,Solenandra mexicana,Solenandra mexicana (A.Gray) Borhidi
13380,Apocynaceae,Solenostemma,Solenostemma arghel,Solenostemma arghel (Delile) Hayne
13431,Rubiaceae,Spermacoce,Spermacoce alata,Spermacoce alata Aubl.
13433,Rubiaceae,Spermacoce,Spermacoce articularis,Spermacoce articularis L.f.
13438,Rubiaceae,Spermacoce,Spermacoce capitata,Spermacoce capitata Ruiz & Pav.
13440,Rubiaceae,Spermacoce,Spermacoce latifolia,Spermacoce latifolia Aubl.
13447,Rubiaceae,Spermacoce,Spermacoce ocymoides,Spermacoce ocymoides Burm.f.
13454,Rubiaceae,Spermacoce,Spermacoce pusilla,Spermacoce pusilla Wall.
13477,Rubiaceae,Spermacoce,Spermacoce remota,Spermacoce remota Lam.
13478,Rubiaceae,Spermacoce,Spermacoce tenuior,Spermacoce tenuior L.
13479,Rubiaceae,Spermacoce,Spermacoce verticillata,Spermacoce verticillata L.
13491,Loganiaceae,Spigelia,Spigelia anthelmia,Spigelia anthelmia L.
13495,Apocynaceae,Stapelia,Stapelia gigantea,Stapelia gigantea N.E.Br.
13496,Apocynaceae,Stapelia,Stapelia hirsuta,Stapelia hirsuta L.
13498,Rubiaceae,Stenostomum,Stenostomum acreanum,Stenostomum acreanum (K.Krause) Achille & Delprete
13508,Rubiaceae,Stenostomum,Stenostomum acutatum,Stenostomum acutatum DC.
13516,Rubiaceae,Stenostomum,Stenostomum lucidum,Stenostomum lucidum (Sw.) C.F.Gaertn.
13520,Rubiaceae,Stenostomum,Stenostomum portoricense,Stenostomum portoricense Britton & P.Wilson
13522,Rubiaceae,Stenostomum,Stenostomum resinosum,Stenostomum resinosum (Vahl) Griseb.
13524,Apocynaceae,Stephanotis,Stephanotis floribunda,Stephanotis floribunda Jacques
13525,Apocynaceae,Stephanotis,Stephanotis volubilis,"Stephanotis volubilis (L.f.) S.Reuss, Liede & Meve"
13551,Apocynaceae,Strempeliopsis,Strempeliopsis strempelioides,Strempeliopsis strempelioides (Griseb.) Benth. ex B.D.Jacks.
13575,Apocynaceae,Streptocaulon,Streptocaulon juventas,Streptocaulon juventas (Lour.) Merr.
13598,Apocynaceae,Strophanthus,Strophanthus boivinii,Strophanthus boivinii Baill.
13605,Apocynaceae,Strophanthus,Strophanthus courmontii,Strophanthus courmontii Sacleux ex Franch.
13607,Apocynaceae,Strophanthus,Strophanthus divaricatus,Strophanthus divaricatus (Lour.) Hook. & Arn.
13621,Apocynaceae,Strophanthus,Strophanthus eminii,Strophanthus eminii Asch. ex Pax
13628,Apocynaceae,Strophanthus,Strophanthus gratus,Strophanthus gratus (Wall. & Hook.) Baill.
13635,Apocynaceae,Strophanthus,Strophanthus hispidus,Strophanthus hispidus DC.
13642,Apocynaceae,Strophanthus,Strophanthus kombe,Strophanthus kombe Oliv.
13669,Apocynaceae,Strophanthus,Strophanthus nicholsonii,Strophanthus nicholsonii Holmes
13671,Apocynaceae,Strophanthus,Strophanthus sarmentosus,Strophanthus sarmentosus DC.
13677,Apocynaceae,Strophanthus,Strophanthus thollonii,Strophanthus thollonii Franch.
13678,Rubiaceae,Strumpfia,Strumpfia maritima,Strumpfia maritima Jacq.
13693,Loganiaceae,Strychnos,Strychnos aculeata,Strychnos aculeata Soler.
13696,Loganiaceae,Strychnos,Strychnos afzelii,Strychnos afzelii Gilg
13700,Loganiaceae,Strychnos,Strychnos amazonica,Strychnos amazonica Krukoff
13705,Loganiaceae,Strychnos,Strychnos angolensis,Strychnos angolensis Gilg
13721,Loganiaceae,Strychnos,Strychnos angustiflora,Strychnos angustiflora Benth.
13735,Loganiaceae,Strychnos,Strychnos atlantica,Strychnos atlantica Krukoff & Barneby
13741,Loganiaceae,Strychnos,Strychnos axillaris,Strychnos axillaris Colebr.
13781,Loganiaceae,Strychnos,Strychnos barnhartiana,Strychnos barnhartiana Krukoff
13782,Loganiaceae,Strychnos,Strychnos barteri,Strychnos barteri Soler.
13783,Loganiaceae,Strychnos,Strychnos boonei,Strychnos boonei De Wild.
13784,Loganiaceae,Strychnos,Strychnos brachiata,Strychnos brachiata Ruiz & Pav.
13785,Loganiaceae,Strychnos,Strychnos brasiliensis,Strychnos brasiliensis (Spreng.) Mart.
13787,Loganiaceae,Strychnos,Strychnos camptoneura,Strychnos camptoneura Gilg & Busse
13793,Loganiaceae,Strychnos,Strychnos castelnaeana,Strychnos castelnaeana Baill.
13795,Loganiaceae,Strychnos,Strychnos cathayensis,Strychnos cathayensis Merr.
13807,Loganiaceae,Strychnos,Strychnos chrysophylla,Strychnos chrysophylla Gilg
13809,Loganiaceae,Strychnos,Strychnos cocculoides,Strychnos cocculoides Baker
13822,Loganiaceae,Strychnos,Strychnos congolana,Strychnos congolana Gilg
13823,Loganiaceae,Strychnos,Strychnos dale,Strychnos dale De Wild.
13828,Loganiaceae,Strychnos,Strychnos decussata,Strychnos decussata (Pappe) Gilg
13839,Loganiaceae,Strychnos,Strychnos densiflora,Strychnos densiflora Baill.
13840,Loganiaceae,Strychnos,Strychnos diaboli,Strychnos diaboli Sandwith
13841,Loganiaceae,Strychnos,Strychnos dinklagei,Strychnos dinklagei Gilg
13845,Loganiaceae,Strychnos,Strychnos diplotricha,Strychnos diplotricha Leeuwenb.
13852,Loganiaceae,Strychnos,Strychnos divaricans,Strychnos divaricans Ducke
13859,Loganiaceae,Strychnos,Strychnos dolichothyrsa,Strychnos dolichothyrsa Gilg ex Onochie & Hepper
13873,Loganiaceae,Strychnos,Strychnos elaeocarpa,Strychnos elaeocarpa Gilg ex Leeuwenb.
13878,Loganiaceae,Strychnos,Strychnos erichsonii,Strychnos erichsonii R.H.Schomb. ex Progel
13881,Loganiaceae,Strychnos,Strychnos fendleri,Strychnos fendleri Sprague & Sandwith
13890,Loganiaceae,Strychnos,Strychnos floribunda,Strychnos floribunda Gilg
13891,Loganiaceae,Strychnos,Strychnos froesii,Strychnos froesii Ducke
13894,Loganiaceae,Strychnos,Strychnos gardneri,Strychnos gardneri A.DC.
13896,Loganiaceae,Strychnos,Strychnos gossweileri,Strychnos gossweileri Exell
13903,Loganiaceae,Strychnos,Strychnos guianensis,Strychnos guianensis (Aubl.) Mart.
13924,Loganiaceae,Strychnos,Strychnos henningsii,Strychnos henningsii Gilg
13959,Loganiaceae,Strychnos,Strychnos hirsuta,Strychnos hirsuta Spruce ex Benth.
13961,Loganiaceae,Strychnos,Strychnos icaja,Strychnos icaja Baill.
14010,Loganiaceae,Strychnos,Strychnos ignatii,Strychnos ignatii P.J.Bergius
14026,Loganiaceae,Strychnos,Strychnos jobertiana,Strychnos jobertiana Baill.
14029,Loganiaceae,Strychnos,Strychnos johnsonii,Strychnos johnsonii Hutch. & M.B.Moss
14055,Loganiaceae,Strychnos,Strychnos kasengaensis,Strychnos kasengaensis De Wild.
14063,Loganiaceae,Strychnos,Strychnos ledermannii,Strychnos ledermannii Gilg & Gilg-Ben.
14066,Loganiaceae,Strychnos,Strychnos longicaudata,Strychnos longicaudata Gilg
14075,Loganiaceae,Strychnos,Strychnos lucens,Strychnos lucens Baker
14079,Loganiaceae,Strychnos,Strychnos lucida,Strychnos lucida R.Br.
14119,Loganiaceae,Strychnos,Strychnos madagascariensis,Strychnos madagascariensis Poir.
14123,Loganiaceae,Strychnos,Strychnos malacoclados,Strychnos malacoclados C.H.Wright
14124,Loganiaceae,Strychnos,Strychnos matopensis,Strychnos matopensis S.Moore
14142,Loganiaceae,Strychnos,Strychnos mattogrossensis,Strychnos mattogrossensis S.Moore
14145,Loganiaceae,Strychnos,Strychnos medeola,Strychnos medeola Sagot ex Progel
14146,Loganiaceae,Strychnos,Strychnos melinoniana,Strychnos melinoniana Baill.
14150,Loganiaceae,Strychnos,Strychnos mellodora,Strychnos mellodora S.Moore
14160,Loganiaceae,Strychnos,Strychnos mimfiensis,Strychnos mimfiensis Gilg ex Leeuwenb.
14168,Loganiaceae,Strychnos,Strychnos minor,Strychnos minor Dennst.
14171,Loganiaceae,Strychnos,Strychnos mitis,Strychnos mitis S.Moore
14176,Loganiaceae,Strychnos,Strychnos mitscherlichii,Strychnos mitscherlichii M.R.Schomb.
14180,Loganiaceae,Strychnos,Strychnos moandaensis,Strychnos moandaensis De Wild.
14181,Loganiaceae,Strychnos,Strychnos myrtoides,Strychnos myrtoides Gilg & Busse
14190,Loganiaceae,Strychnos,Strychnos ngouniensis,Strychnos ngouniensis Pellegr.
14206,Loganiaceae,Strychnos,Strychnos nigritana,Strychnos nigritana Baker
14208,Loganiaceae,Strychnos,Strychnos nitida,Strychnos nitida G.Don
14210,Loganiaceae,Strychnos,Strychnos nux-blanda,Strychnos nux-blanda A.W.Hill
14211,Loganiaceae,Strychnos,Strychnos nux-vomica,Strychnos nux-vomica L.
14289,Loganiaceae,Strychnos,Strychnos panamensis,Strychnos panamensis Seem.
14294,Loganiaceae,Strychnos,Strychnos panganensis,Strychnos panganensis Gilg
14304,Loganiaceae,Strychnos,Strychnos parvifolia,Strychnos parvifolia A.DC.
14305,Loganiaceae,Strychnos,Strychnos potatorum,Strychnos potatorum L.f.
14339,Loganiaceae,Strychnos,Strychnos pseudoquina,Strychnos pseudoquina A.St.-Hil.
14347,Loganiaceae,Strychnos,Strychnos psilosperma,Strychnos psilosperma F.Muell.
14352,Loganiaceae,Strychnos,Strychnos romeu-belenii,Strychnos romeu-belenii Krukoff & Barneby
14353,Loganiaceae,Strychnos,Strychnos rondeletioides,Strychnos rondeletioides Spruce ex Benth.
14354,Loganiaceae,Strychnos,Strychnos rubiginosa,Strychnos rubiginosa A.DC.
14357,Loganiaceae,Strychnos,Strychnos solimoesana,Strychnos solimoesana Krukoff
14360,Loganiaceae,Strychnos,Strychnos soubrensis,Strychnos soubrensis Hutch. & Dalziel
14363,Loganiaceae,Strychnos,Strychnos spinosa,Strychnos spinosa Lam.
14440,Loganiaceae,Strychnos,Strychnos splendens,Strychnos splendens Gilg
14442,Loganiaceae,Strychnos,Strychnos staudtii,Strychnos staudtii Gilg
14447,Loganiaceae,Strychnos,Strychnos subcordata,Strychnos subcordata Spruce ex Benth.
14448,Loganiaceae,Strychnos,Strychnos tabascana,Strychnos tabascana Sprague & Sandwith
14450,Loganiaceae,Strychnos,Strychnos tchibangensis,Strychnos tchibangensis Pellegr.
14453,Loganiaceae,Strychnos,Strychnos toxifera,Strychnos toxifera R.H.Schomb. ex Lindl.
14466,Loganiaceae,Strychnos,Strychnos tricalysioides,Strychnos tricalysioides Hutch. & M.B.Moss
14471,Loganiaceae,Strychnos,Strychnos trinervis,Strychnos trinervis (Vell.) Mart.
14480,Loganiaceae,Strychnos,Strychnos urceolata,Strychnos urceolata Leeuwenb.
14481,Loganiaceae,Strychnos,Strychnos usambarensis,Strychnos usambarensis Gilg ex Engl.
14514,Loganiaceae,Strychnos,Strychnos vanprukii,Strychnos vanprukii Craib
14530,Loganiaceae,Strychnos,Strychnos variabilis,Strychnos variabilis De Wild.
14559,Loganiaceae,Strychnos,Strychnos wallichiana,Strychnos wallichiana Steud. ex A.DC.
14585,Loganiaceae,Strychnos,Strychnos xantha,Strychnos xantha Leeuwenb.
14596,Gentianaceae,Swertia,Swertia alata,Swertia alata (D.Don ex G.Don) Royle ex C.B.Clarke
14597,Gentianaceae,Swertia,Swertia angustifolia,Swertia angustifolia Buch.-Ham. ex D.Don
14613,Gentianaceae,Swertia,Swertia arisanensis,Swertia arisanensis Hayata
14616,Gentianaceae,Swertia,Swertia bimaculata,Swertia bimaculata (Siebold & Zucc.) Hook.f. & Thomson ex C.B.Clarke
14620,Gentianaceae,Swertia,Swertia brownii,Swertia brownii J.Shah
14637,Gentianaceae,Swertia,Swertia chirayita,Swertia chirayita (Roxb.) H.Karst.
14674,Gentianaceae,Swertia,Swertia cincta,Swertia cincta Burkill
14678,Gentianaceae,Swertia,Swertia connata,Swertia connata Schrenk ex Fisch. & C.A.Mey.
14679,Gentianaceae,Swertia,Swertia cordata,Swertia cordata (G.Don) Wall. ex C.B.Clarke
14680,Gentianaceae,Swertia,Swertia corymbosa,Swertia corymbosa (Griseb.) Fielding & Gardner
14692,Gentianaceae,Swertia,Swertia cuneata,Swertia cuneata D.Don
14693,Gentianaceae,Swertia,Swertia davidii,Swertia davidii Franch.
14698,Gentianaceae,Swertia,Swertia decora,Swertia decora Franch.
14706,Gentianaceae,Swertia,Swertia delavayi,Swertia delavayi Franch.
14710,Gentianaceae,Swertia,Swertia densifolia,Swertia densifolia (Griseb.) Kashyapa
14714,Gentianaceae,Swertia,Swertia dilatata,Swertia dilatata C.B.Clarke
14722,Gentianaceae,Swertia,Swertia diluta,Swertia diluta (Turcz.) Benth. & Hook.f.
14728,Gentianaceae,Swertia,Swertia erythrosticta,Swertia erythrosticta Maxim.
14734,Gentianaceae,Swertia,Swertia fasciculata,Swertia fasciculata T.N.Ho & S.W.Liu
14739,Gentianaceae,Swertia,Swertia franchetiana,Swertia franchetiana Harry Sm.
14752,Gentianaceae,Swertia,Swertia hickinii,Swertia hickinii Burkill
14753,Gentianaceae,Swertia,Swertia hookeri,Swertia hookeri C.B.Clarke
14766,Gentianaceae,Swertia,Swertia iberica,Swertia iberica Fisch. ex C.A.Mey.
14772,Gentianaceae,Swertia,Swertia japonica,Swertia japonica (Schult.) Makino
14899,Gentianaceae,Swertia,Swertia kouitchensis,Swertia kouitchensis Franch.
14913,Gentianaceae,Swertia,Swertia lawii,Swertia lawii (C.B.Clarke) Burkill
14918,Gentianaceae,Swertia,Swertia leducii,Swertia leducii Franch.
14939,Gentianaceae,Swertia,Swertia longifolia,Swertia longifolia Boiss.
14946,Gentianaceae,Swertia,Swertia macrosperma,Swertia macrosperma (C.B.Clarke) C.B.Clarke
14958,Gentianaceae,Swertia,Swertia marginata,Swertia marginata Schrenk
14960,Gentianaceae,Swertia,Swertia mileensis,Swertia mileensis T.N.Ho & W.L.Shih
14988,Gentianaceae,Swertia,Swertia mussotii,Swertia mussotii Franch.
14998,Gentianaceae,Swertia,Swertia nervosa,Swertia nervosa (G.Don) Wall. ex C.B.Clarke
15009,Gentianaceae,Swertia,Swertia paniculata,Swertia paniculata Wall.
15027,Gentianaceae,Swertia,Swertia patens,Swertia patens Burkill
15031,Gentianaceae,Swertia,Swertia perennis,Swertia perennis L.
15046,Gentianaceae,Swertia,Swertia petiolata,Swertia petiolata D.Don
15056,Gentianaceae,Swertia,Swertia przewalskii,Swertia przewalskii Pissjauk.
15057,Gentianaceae,Swertia,Swertia pseudochinensis,Swertia pseudochinensis H.Hara
15077,Gentianaceae,Swertia,Swertia pubescens,Swertia pubescens Franch.
15086,Gentianaceae,Swertia,Swertia punctata,Swertia punctata Baumg.
15098,Gentianaceae,Swertia,Swertia punicea,Swertia punicea Hemsl.
15132,Gentianaceae,Swertia,Swertia purpurascens,Swertia purpurascens (D.Don) C.B.Clarke
15147,Gentianaceae,Swertia,Swertia racemosa,Swertia racemosa (Griseb.) Wall. ex C.B.Clarke
15154,Gentianaceae,Swertia,Swertia souliei,Swertia souliei Burkill
15159,Gentianaceae,Swertia,Swertia speciosa,Swertia speciosa D.Don
15174,Gentianaceae,Swertia,Swertia swertopsis,Swertia swertopsis Makino
15182,Gentianaceae,Swertia,Swertia tetrapetala,Swertia tetrapetala Pall.
15187,Gentianaceae,Swertia,Swertia thomsonii,Swertia thomsonii C.B.Clarke
15189,Gentianaceae,Swertia,Swertia verticillifolia,Swertia verticillifolia T.N.Ho & S.W.Liu
15191,Rubiaceae,Syringantha,Syringantha coulteri,Syringantha coulteri (Hook.f.) T.McDowell
15207,Apocynaceae,Tabernaemontana,Tabernaemontana africana,Tabernaemontana africana Hook.
15239,Apocynaceae,Tabernaemontana,Tabernaemontana alba,Tabernaemontana alba Mill.
15254,Apocynaceae,Tabernaemontana,Tabernaemontana alternifolia,Tabernaemontana alternifolia L.
15283,Apocynaceae,Tabernaemontana,Tabernaemontana amygdalifolia,Tabernaemontana amygdalifolia Jacq.
15291,Apocynaceae,Tabernaemontana,Tabernaemontana apoda,Tabernaemontana apoda C.Wright
15308,Apocynaceae,Tabernaemontana,Tabernaemontana arborea,Tabernaemontana arborea Rose
15318,Apocynaceae,Tabernaemontana,Tabernaemontana attenuata,Tabernaemontana attenuata (Miers) Urb.
15334,Apocynaceae,Tabernaemontana,Tabernaemontana aurantiaca,Tabernaemontana aurantiaca Gaudich.
15338,Apocynaceae,Tabernaemontana,Tabernaemontana bovina,Tabernaemontana bovina Lour.
15406,Apocynaceae,Tabernaemontana,Tabernaemontana brachyantha,Tabernaemontana brachyantha Stapf
15411,Apocynaceae,Tabernaemontana,Tabernaemontana bufalina,Tabernaemontana bufalina Lour.
15432,Apocynaceae,Tabernaemontana,Tabernaemontana calcarea,Tabernaemontana calcarea Pichon
15468,Apocynaceae,Tabernaemontana,Tabernaemontana capuronii,Tabernaemontana capuronii Leeuwenb.
15470,Apocynaceae,Tabernaemontana,Tabernaemontana catharinensis,Tabernaemontana catharinensis A.DC.
15526,Apocynaceae,Tabernaemontana,Tabernaemontana cerifera,Tabernaemontana cerifera Pancher & Sebert
15539,Apocynaceae,Tabernaemontana,Tabernaemontana ciliata,Tabernaemontana ciliata Pichon
15548,Apocynaceae,Tabernaemontana,Tabernaemontana citrifolia,Tabernaemontana citrifolia L.
15570,Apocynaceae,Tabernaemontana,Tabernaemontana coffeoides,Tabernaemontana coffeoides Bojer ex A.DC.
15619,Apocynaceae,Tabernaemontana,Tabernaemontana contorta,Tabernaemontana contorta Stapf
15627,Apocynaceae,Tabernaemontana,Tabernaemontana coriacea,Tabernaemontana coriacea Link ex Roem. & Schult.
15630,Apocynaceae,Tabernaemontana,Tabernaemontana corymbosa,Tabernaemontana corymbosa Roxb. ex Wall.
15734,Apocynaceae,Tabernaemontana,Tabernaemontana crassa,Tabernaemontana crassa Benth.
15764,Apocynaceae,Tabernaemontana,Tabernaemontana crassifolia,Tabernaemontana crassifolia Pichon
15767,Apocynaceae,Tabernaemontana,Tabernaemontana cymosa,Tabernaemontana cymosa Jacq.
15820,Apocynaceae,Tabernaemontana,Tabernaemontana debrayi,Tabernaemontana debrayi (Markgr.) Leeuwenb.
15825,Apocynaceae,Tabernaemontana,Tabernaemontana dichotoma,Tabernaemontana dichotoma Roxb. ex Wall.
15864,Apocynaceae,Tabernaemontana,Tabernaemontana divaricata,Tabernaemontana divaricata (L.) R.Br. ex Roem. & Schult.
15990,Apocynaceae,Tabernaemontana,Tabernaemontana donnell-smithii,Tabernaemontana donnell-smithii Rose
15991,Apocynaceae,Tabernaemontana,Tabernaemontana eglandulosa,Tabernaemontana eglandulosa Stapf
16028,Apocynaceae,Tabernaemontana,Tabernaemontana elegans,Tabernaemontana elegans Stapf
16053,Apocynaceae,Tabernaemontana,Tabernaemontana eusepala,Tabernaemontana eusepala Aug.DC.
16058,Apocynaceae,Tabernaemontana,Tabernaemontana eusepaloides,Tabernaemontana eusepaloides (Markgr.) Leeuwenb.
16059,Apocynaceae,Tabernaemontana,Tabernaemontana flavicans,Tabernaemontana flavicans Roem. & Schult.
16074,Apocynaceae,Tabernaemontana,Tabernaemontana glabra,Tabernaemontana glabra (Benth.) A.O.Simões & M.E.Endress
16084,Apocynaceae,Tabernaemontana,Tabernaemontana glandulosa,Tabernaemontana glandulosa (Stapf) Pichon
16098,Apocynaceae,Tabernaemontana,Tabernaemontana grandiflora,Tabernaemontana grandiflora Jacq.
16115,Apocynaceae,Tabernaemontana,Tabernaemontana heterophylla,Tabernaemontana heterophylla Vahl
16136,Apocynaceae,Tabernaemontana,Tabernaemontana humblotii,Tabernaemontana humblotii (Baill.) Pichon
16152,Apocynaceae,Tabernaemontana,Tabernaemontana hystrix,Tabernaemontana hystrix Steud.
16187,Apocynaceae,Tabernaemontana,Tabernaemontana inconspicua,Tabernaemontana inconspicua Stapf
16196,Apocynaceae,Tabernaemontana,Tabernaemontana laeta,Tabernaemontana laeta Mart.
16223,Apocynaceae,Tabernaemontana,Tabernaemontana laurifolia,Tabernaemontana laurifolia L.
16226,Apocynaceae,Tabernaemontana,Tabernaemontana litoralis,Tabernaemontana litoralis Kunth
16230,Apocynaceae,Tabernaemontana,Tabernaemontana longipes,Tabernaemontana longipes Donn.Sm.
16234,Apocynaceae,Tabernaemontana,Tabernaemontana macrocalyx,Tabernaemontana macrocalyx Müll.Arg.
16241,Apocynaceae,Tabernaemontana,Tabernaemontana macrocarpa,Tabernaemontana macrocarpa Jack
16250,Apocynaceae,Tabernaemontana,Tabernaemontana markgrafiana,Tabernaemontana markgrafiana J.F.Macbr.
16269,Apocynaceae,Tabernaemontana,Tabernaemontana mocquerysi,Tabernaemontana mocquerysi Aug.DC.
16282,Apocynaceae,Tabernaemontana,Tabernaemontana muricata,Tabernaemontana muricata Link ex Roem. & Schult.
16285,Apocynaceae,Tabernaemontana,Tabernaemontana odoratissima,Tabernaemontana odoratissima (Stapf) Leeuwenb.
16294,Apocynaceae,Tabernaemontana,Tabernaemontana oppositifolia,Tabernaemontana oppositifolia (Spreng.) Urb.
16298,Apocynaceae,Tabernaemontana,Tabernaemontana pachysiphon,Tabernaemontana pachysiphon Stapf
16349,Apocynaceae,Tabernaemontana,Tabernaemontana pandacaqui,Tabernaemontana pandacaqui Poir.
